"Playlist ID","Album","Danceability","Energy","Song Name","Loudness","Key","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Duration_ms","Time Signature"
"95","Lover","0.712","0.732","Death By A Thousand Cuts","-6.754","4","1","0.0629","0.454","0","0.319","0.313","94.071","198533","4"
"96","Lover","0.695","0.71","London Boy","-6.639","1","1","0.05","0.0246","0.000104","0.133","0.557","157.925","190240","4"
"97","Lover","0.433","0.182","Soon You’ll Get Better (feat. The Chicks)","-12.566","0","1","0.0641","0.907","0","0.123","0.421","207.476","201587","4"
"98","Lover","0.739","0.32","False God","-10.862","11","0","0.239","0.736","0.000147","0.111","0.351","79.97","200307","4"
"99","Lover","0.771","0.671","You Need To Calm Down","-5.617","2","1","0.0553","0.00929","0","0.0637","0.714","85.026","171360","4"
"100","Lover","0.756","0.449","Afterglow","-8.746","9","1","0.0344","0.13","0","0.114","0.399","111.011","223293","4"
"101","Lover","0.61","0.83","ME! (feat. Brendon Urie of Panic! At The Disco)","-4.105","0","1","0.0571","0.033","0","0.118","0.728","182.162","193000","4"
"102","Lover","0.737","0.175","It’s Nice To Have A Friend","-9.912","10","1","0.0401","0.971","0.000337","0.171","0.545","70.008","150440","4"
"103","Lover","0.557","0.496","Daylight","-9.602","0","1","0.0563","0.808","0.000173","0.0772","0.265","149.983","293453","4"
"104","folklore","0.777","0.357","the 1","-6.942","0","1","0.0522","0.757","0.00000728","0.108","0.172","139.883","210252","4"
"105","folklore","0.613","0.581","cardigan","-8.588","0","0","0.0424","0.537","0.000345","0.25","0.551","130.033","239560","4"
"106","folklore","0.686","0.662","the last great american dynasty","-8.505","7","1","0.0413","0.467","0.0023","0.109","0.706","147.922","230999","4"
"107","folklore","0.298","0.38","exile (feat. Bon Iver)","-8.426","6","1","0.0287","0.778","0.0000562","0.11","0.152","75.602","285634","4"
"108","folklore","0.456","0.263","my tears ricochet","-10.63","0","1","0.0332","0.806","0","0.0749","0.111","129.86","255894","4"
"109","folklore","0.553","0.413","mirrorball","-10.037","2","1","0.0334","0.687","0.00000233","0.0594","0.379","110.107","208978","4"
"110","folklore","0.596","0.488","seven","-10.769","4","1","0.0274","0.9","0.000027","0.091","0.415","94.926","208907","4"
"111","folklore","0.532","0.623","august","-9.208","5","1","0.0331","0.538","0.0000728","0.0925","0.403","89.937","261923","4"
"112","folklore","0.515","0.476","this is me trying","-9.843","9","1","0.0328","0.314","0.0000474","0.171","0.412","135.886","195097","4"
"113","folklore","0.559","0.31","illicit affairs","-10.445","10","1","0.0338","0.881","0","0.106","0.46","119.845","190898","4"
"114","folklore","0.653","0.452","invisible string","-11.143","4","0","0.055","0.838","0.0000773","0.108","0.45","83.433","252881","4"
"115","folklore","0.592","0.699","mad woman","-8.995","3","1","0.0471","0.655","0.0000168","0.114","0.506","141.916","237258","4"
"116","folklore","0.354","0.267","epiphany","-13.69","1","1","0.0281","0.731","0.000402","0.0858","0.113","94.219","289749","4"
"117","folklore","0.593","0.377","betty","-8.761","0","1","0.0253","0.6","0","0.0976","0.502","95.939","294521","4"
"118","folklore","0.647","0.272","peace","-12.906","5","1","0.0916","0.918","0.0000173","0.0918","0.339","150.044","234000","4"
"119","folklore","0.662","0.181","hoax","-15.065","8","1","0.0415","0.966","0.00000386","0.133","0.429","118.819","220043","4"
"120","evermore","0.392","0.574","willow","-9.195","7","1","0.17","0.833","0.00179","0.145","0.529","81.112","214707","4"
"121","evermore","0.462","0.24","champagne problems","-12.077","0","1","0.0377","0.92","0","0.113","0.32","171.319","244000","4"
"122","evermore","0.512","0.462","gold rush","-10.491","9","1","0.0408","0.83","0.166","0.121","0.353","112.05","185320","4"
"123","evermore","0.575","0.434","‘tis the damn season","-8.193","5","1","0.0312","0.735","0.0000659","0.105","0.348","145.916","229840","4"
"124","evermore","0.316","0.361","tolerate it","-10.381","9","1","0.0488","0.878","0.0000267","0.0797","0.221","74.952","245440","5"
"125","evermore","0.546","0.613","no body, no crime (feat. HAIM)","-7.589","7","0","0.0264","0.418","0","0.103","0.535","79.015","215627","4"
"126","evermore","0.559","0.334","happiness","-10.733","11","1","0.0376","0.87","0","0.114","0.211","122.079","315147","4"
"127","evermore","0.605","0.488","dorothea","-8.322","4","1","0.0264","0.696","0","0.129","0.354","119.966","225880","4"
"128","evermore","0.537","0.537","coney island (feat. The National)","-11.266","8","1","0.0617","0.819","0.000904","0.142","0.292","107.895","275320","4"
"129","evermore","0.515","0.545","ivy","-9.277","2","1","0.0353","0.855","0.0000197","0.0921","0.535","88.856","260440","4"
"130","evermore","0.604","0.517","cowboy like me","-9.014","0","1","0.0347","0.768","0.000155","0.123","0.511","127.967","275040","4"
"131","evermore","0.546","0.73","long story short","-7.704","0","1","0.0417","0.66","0.179","0.0972","0.573","157.895","215920","4"
"132","evermore","0.535","0.561","marjorie","-11.609","5","1","0.0484","0.876","0.000136","0.115","0.287","96.103","257773","4"
"133","evermore","0.689","0.704","closure","-10.813","9","1","0.245","0.835","0.00000483","0.134","0.92","151.884","180653","5"
"134","evermore","0.39","0.27","evermore (feat. Bon Iver)","-10.673","1","1","0.0308","0.937","0.00227","0.111","0.32","125.177","304107","5"
"135","Midnights","0.733","0.436","Lavender Haze","-10.489","10","1","0.08","0.258","0.000573","0.157","0.0976","96.985","202396","4"
"136","Midnights","0.637","0.398","Maroon","-8.294","7","1","0.0564","0.0573","0.00000103","0.101","0.0374","108.075","218271","4"
"137","Midnights","0.637","0.643","Anti-Hero","-6.571","4","1","0.0519","0.13","0.0000018","0.142","0.533","97.008","200690","4"
"138","Midnights","0.663","0.319","Snow On The Beach (feat. Lana Del Rey)","-13.481","9","1","0.0375","0.69","0.000993","0.117","0.193","109.957","256124","4"
"139","Midnights","0.696","0.396","You're On Your Own, Kid","-10.289","2","1","0.0656","0.401","0.0000052","0.125","0.38","120.041","194207","4"
"140","Midnights","0.643","0.363","Midnight Rain","-11.738","0","1","0.0767","0.69","0.0000517","0.115","0.23","139.865","174783","4"
"141","Midnights","0.751","0.502","Question...?","-8.763","7","1","0.167","0.2","0","0.296","0.106","108.943","210557","4"
"142","Midnights","0.798","0.277","Vigilante Shit","-11.096","4","0","0.39","0.173","0.0000525","0.121","0.163","79.846","164801","4"
"143","Midnights","0.696","0.559","Bejeweled","-9.19","7","1","0.0693","0.0618","0.0000558","0.0887","0.433","163.999","194166","4"
"144","Midnights","0.406","0.306","Labyrinth","-15.48","0","1","0.0517","0.785","0.488","0.122","0.122","110.014","247962","4"
"145","Midnights","0.642","0.62","Karma","-7.091","8","1","0.0666","0.0734","0","0.483","0.0969","90.02","204852","4"
"146","Midnights","0.337","0.156","Sweet Nothing","-14.919","0","1","0.0518","0.964","0.0000772","0.115","0.39","176.655","188497","4"
"147","Midnights","0.662","0.357","Mastermind","-14.064","4","1","0.154","0.553","0.00129","0.0837","0.124","125.966","191039","4"
